,time,price actual
0,2015-01-01 00:00:00+01:00,65.41
1,2015-01-01 01:00:00+01:00,64.92
2,2015-01-01 02:00:00+01:00,64.48
3,2015-01-01 03:00:00+01:00,59.32
4,2015-01-01 04:00:00+01:00,56.04
5,2015-01-01 05:00:00+01:00,53.63
6,2015-01-01 06:00:00+01:00,51.73
7,2015-01-01 07:00:00+01:00,51.43
8,2015-01-01 08:00:00+01:00,48.98
9,2015-01-01 09:00:00+01:00,54.2
10,2015-01-01 10:00:00+01:00,58.94
11,2015-01-01 11:00:00+01:00,59.86
12,2015-01-01 12:00:00+01:00,60.12
13,2015-01-01 13:00:00+01:00,62.05
14,2015-01-01 14:00:00+01:00,62.06
15,2015-01-01 15:00:00+01:00,59.76
16,2015-01-01 16:00:00+01:00,61.18
17,2015-01-01 17:00:00+01:00,64.74
18,2015-01-01 18:00:00+01:00,74.26
19,2015-01-01 19:00:00+01:00,74.24
20,2015-01-01 20:00:00+01:00,75.64
21,2015-01-01 21:00:00+01:00,73.92
22,2015-01-01 22:00:00+01:00,70.53
23,2015-01-01 23:00:00+01:00,64.13
24,2015-01-02 00:00:00+01:00,64.02
25,2015-01-02 01:00:00+01:00,58.46
26,2015-01-02 02:00:00+01:00,54.7
27,2015-01-02 03:00:00+01:00,54.91
28,2015-01-02 04:00:00+01:00,53.07
29,2015-01-02 05:00:00+01:00,54.23
30,2015-01-02 06:00:00+01:00,58.22
31,2015-01-02 07:00:00+01:00,67.55
32,2015-01-02 08:00:00+01:00,70.33
33,2015-01-02 09:00:00+01:00,71.26
34,2015-01-02 10:00:00+01:00,75.86
35,2015-01-02 11:00:00+01:00,73.65
36,2015-01-02 12:00:00+01:00,74.19
37,2015-01-02 13:00:00+01:00,71.51
38,2015-01-02 14:00:00+01:00,71.04
39,2015-01-02 15:00:00+01:00,71.24
40,2015-01-02 16:00:00+01:00,70.64
41,2015-01-02 17:00:00+01:00,72.85
42,2015-01-02 18:00:00+01:00,82.55
43,2015-01-02 19:00:00+01:00,83.33
44,2015-01-02 20:00:00+01:00,83.23
45,2015-01-02 21:00:00+01:00,79.06
46,2015-01-02 22:00:00+01:00,76.2
47,2015-01-02 23:00:00+01:00,71.75
48,2015-01-03 00:00:00+01:00,66.82
49,2015-01-03 01:00:00+01:00,63.35
50,2015-01-03 02:00:00+01:00,58.79
51,2015-01-03 03:00:00+01:00,57.44
52,2015-01-03 04:00:00+01:00,55.29
53,2015-01-03 05:00:00+01:00,56.22
54,2015-01-03 06:00:00+01:00,58.13
55,2015-01-03 07:00:00+01:00,62.06
56,2015-01-03 08:00:00+01:00,67.36
57,2015-01-03 09:00:00+01:00,69.21
58,2015-01-03 10:00:00+01:00,70.35
59,2015-01-03 11:00:00+01:00,68.77
60,2015-01-03 12:00:00+01:00,68.82
61,2015-01-03 13:00:00+01:00,68.23
62,2015-01-03 14:00:00+01:00,67.97
63,2015-01-03 15:00:00+01:00,62.76
64,2015-01-03 16:00:00+01:00,62.03
65,2015-01-03 17:00:00+01:00,66.69
66,2015-01-03 18:00:00+01:00,71.5
67,2015-01-03 19:00:00+01:00,72.14
68,2015-01-03 20:00:00+01:00,72.45
69,2015-01-03 21:00:00+01:00,72.86
70,2015-01-03 22:00:00+01:00,70.1
71,2015-01-03 23:00:00+01:00,67.62
72,2015-01-04 00:00:00+01:00,55.22
73,2015-01-04 01:00:00+01:00,50.54
74,2015-01-04 02:00:00+01:00,48.68
75,2015-01-04 03:00:00+01:00,48.02
76,2015-01-04 04:00:00+01:00,47.06
77,2015-01-04 05:00:00+01:00,46.79
78,2015-01-04 06:00:00+01:00,47.63
79,2015-01-04 07:00:00+01:00,47.44
80,2015-01-04 08:00:00+01:00,50.84
81,2015-01-04 09:00:00+01:00,54.84
82,2015-01-04 10:00:00+01:00,59.95
83,2015-01-04 11:00:00+01:00,59.35
84,2015-01-04 12:00:00+01:00,57.03
85,2015-01-04 13:00:00+01:00,59.22
86,2015-01-04 14:00:00+01:00,58.56
87,2015-01-04 15:00:00+01:00,52.07
88,2015-01-04 16:00:00+01:00,52.15
89,2015-01-04 17:00:00+01:00,61.12
90,2015-01-04 18:00:00+01:00,71.98
91,2015-01-04 19:00:00+01:00,74.64
92,2015-01-04 20:00:00+01:00,75.38
93,2015-01-04 21:00:00+01:00,76.49
94,2015-01-04 22:00:00+01:00,73.83
95,2015-01-04 23:00:00+01:00,69.51
96,2015-01-05 00:00:00+01:00,70.77
97,2015-01-05 01:00:00+01:00,64.89
98,2015-01-05 02:00:00+01:00,60.91
99,2015-01-05 03:00:00+01:00,59.68
100,2015-01-05 04:00:00+01:00,58.04
101,2015-01-05 05:00:00+01:00,59.57
102,2015-01-05 06:00:00+01:00,69.73
103,2015-01-05 07:00:00+01:00,72.97
104,2015-01-05 08:00:00+01:00,77.92
105,2015-01-05 09:00:00+01:00,79.59
106,2015-01-05 10:00:00+01:00,81.75
107,2015-01-05 11:00:00+01:00,80.82
108,2015-01-05 12:00:00+01:00,79.14
109,2015-01-05 13:00:00+01:00,73.95
110,2015-01-05 14:00:00+01:00,71.93
111,2015-01-05 15:00:00+01:00,71.5
112,2015-01-05 16:00:00+01:00,71.85
113,2015-01-05 17:00:00+01:00,80.53
114,2015-01-05 18:00:00+01:00,89.08
115,2015-01-05 19:00:00+01:00,90.97
116,2015-01-05 20:00:00+01:00,88.51
117,2015-01-05 21:00:00+01:00,82.85
118,2015-01-05 22:00:00+01:00,80.52
